order_id,menu_item_id,quantity,subtotal
100,25,1,6.66
101,7,1,6.29
102,12,1,6.32
102,31,1,5.19
103,10,1,4.91
103,3,1,3.85
104,6,1,3.76
105,26,1,4.12
106,32,1,4.68
106,25,1,6.66
107,13,1,5.73
108,16,1,5.82
108,15,1,6.31
108,31,1,5.19
109,2,1,5.44
109,27,1,5.75
110,23,1,4.73
111,19,1,6.9
112,7,1,6.29
112,8,1,4.03
113,4,1,5.74
114,31,1,5.19
115,3,1,3.85
115,10,1,4.91
116,20,2,10.16
117,29,1,4.42
117,19,2,13.8
118,16,1,5.82
118,17,1,4.25
119,15,1,6.31
119,31,1,5.19
120,14,1,4.02
120,3,1,3.85
121,19,2,13.8
122,3,1,3.85
123,4,1,5.74
124,24,1,7.0
124,21,1,6.97
125,27,1,5.75
125,31,1,5.19
126,31,1,5.19
126,19,2,13.8
126,6,1,3.76
127,5,1,5.12
127,1,1,4.79
128,32,2,9.36
129,8,1,4.03
130,12,1,6.32
130,16,1,5.82
130,4,1,5.74
131,2,1,5.44
131,10,1,4.91
132,15,1,6.31
132,24,1,7.0
133,29,1,4.42
134,14,1,4.02
135,12,1,6.32
136,10,1,4.91
137,21,1,6.97
137,10,1,4.91
138,11,1,3.96
138,6,1,3.76
139,25,1,6.66
140,5,1,5.12
141,24,1,7.0
142,26,1,4.12
143,22,1,5.16
143,27,1,5.75
143,5,2,10.24
144,11,1,3.96
144,20,1,5.08
144,4,1,5.74
145,29,1,4.42
145,7,1,6.29
146,13,1,5.73
147,2,1,5.44
147,20,1,5.08
147,5,1,5.12
148,13,1,5.73
148,18,1,4.58
149,32,1,4.68
149,7,1,6.29
150,13,1,5.73
150,21,1,6.97
151,7,1,6.29
151,6,2,7.52
152,9,1,5.07
152,20,2,10.16
152,24,1,7.0
153,28,1,3.95
153,2,1,5.44
153,11,1,3.96
154,9,1,5.07
155,12,1,6.32
155,15,1,6.31
156,32,1,4.68
156,22,1,5.16
156,2,1,5.44
157,20,1,5.08
158,3,1,3.85
159,24,1,7.0
159,21,1,6.97
160,17,1,4.25
161,13,1,5.73
162,6,1,3.76
163,7,1,6.29
164,31,1,5.19
164,8,1,4.03
165,9,2,10.14
165,14,1,4.02
166,1,2,9.58
166,15,1,6.31
167,32,1,4.68
167,5,1,5.12
168,21,1,6.97
169,9,1,5.07
170,26,2,8.24
170,31,1,5.19
170,9,1,5.07
171,26,1,4.12
171,7,2,12.58
171,32,1,4.68
172,15,1,6.31
172,14,1,4.02
172,28,1,3.95
173,2,1,5.44
173,18,1,4.58
174,17,1,4.25
174,13,1,5.73
174,6,1,3.76
175,24,1,7.0
175,31,1,5.19
176,25,1,6.66
176,18,1,4.58
176,8,1,4.03
177,10,1,4.91
178,18,1,4.58
178,27,1,5.75
178,6,1,3.76
179,30,1,6.85
179,11,1,3.96
179,21,1,6.97
180,23,1,4.73
181,32,1,4.68
181,24,1,7.0
182,19,1,6.9
183,17,2,8.5
183,29,1,4.42
183,15,1,6.31
184,12,1,6.32
185,20,1,5.08
186,15,1,6.31
187,1,1,4.79
187,5,1,5.12
188,26,1,4.12
189,6,1,3.76
189,9,1,5.07
190,17,1,4.25
190,15,1,6.31
191,18,1,4.58
191,12,1,6.32
192,5,1,5.12
193,24,2,14.0
193,30,1,6.85
193,16,1,5.82
194,28,1,3.95
195,13,1,5.73
195,30,1,6.85
196,23,1,4.73
196,23,1,4.73
196,27,1,5.75
197,2,1,5.44
197,6,1,3.76
198,28,1,3.95
198,20,1,5.08
198,21,1,6.97
199,8,1,4.03
199,15,1,6.31
200,4,1,5.74
201,30,1,6.85
202,18,1,4.58
202,29,1,4.42
202,28,1,3.95
203,23,1,4.73
203,1,1,4.79
203,30,1,6.85
204,11,2,7.92
204,18,1,4.58
205,7,1,6.29
206,13,1,5.73
207,17,1,4.25
208,19,1,6.9
209,26,1,4.12
210,14,2,8.04
211,24,1,7.0
211,1,1,4.79
212,6,1,3.76
213,20,1,5.08
213,8,1,4.03
214,27,1,5.75
214,6,1,3.76
214,18,1,4.58
215,12,1,6.32
215,9,1,5.07
215,23,1,4.73
216,2,1,5.44
216,4,1,5.74
217,15,1,6.31
217,13,1,5.73
218,12,1,6.32
219,29,1,4.42
219,16,1,5.82
219,7,1,6.29
220,29,1,4.42
220,24,1,7.0
221,20,1,5.08
222,28,1,3.95
222,23,1,4.73
223,21,1,6.97
223,2,1,5.44
224,14,1,4.02
225,13,1,5.73
225,28,1,3.95
226,6,1,3.76
227,11,1,3.96
227,15,1,6.31
228,19,1,6.9
228,22,1,5.16
229,31,1,5.19
229,31,1,5.19
230,28,1,3.95
230,19,1,6.9
230,13,1,5.73
231,18,1,4.58
231,25,1,6.66
232,3,1,3.85
233,26,1,4.12
233,24,1,7.0
233,29,2,8.84
234,29,1,4.42
234,15,1,6.31
235,31,1,5.19
236,13,1,5.73
236,25,1,6.66
236,7,1,6.29
237,20,1,5.08
237,6,1,3.76
238,2,1,5.44
239,19,1,6.9
239,17,1,4.25
239,28,1,3.95
240,25,1,6.66
240,31,1,5.19
240,9,1,5.07
241,20,1,5.08
242,32,1,4.68
243,26,1,4.12
244,6,1,3.76
245,3,1,3.85
246,19,1,6.9
246,13,1,5.73
247,26,1,4.12
247,3,1,3.85
248,21,1,6.97
248,2,1,5.44
249,9,1,5.07
249,13,2,11.46
249,31,1,5.19
250,9,1,5.07
250,27,1,5.75
251,21,1,6.97
251,22,1,5.16
252,9,1,5.07
252,30,2,13.7
253,9,1,5.07
254,19,1,6.9
254,12,1,6.32
255,25,1,6.66
256,31,1,5.19
256,14,1,4.02
256,13,1,5.73
257,28,1,3.95
258,27,2,11.5
258,20,1,5.08
259,32,1,4.68
259,13,1,5.73
259,15,2,12.62
260,27,1,5.75
260,5,1,5.12
261,24,1,7.0
261,9,1,5.07
262,1,1,4.79
263,19,1,6.9
264,28,1,3.95
265,30,1,6.85
266,31,1,5.19
267,3,1,3.85
267,13,1,5.73
268,30,2,13.7
269,26,1,4.12
270,30,1,6.85
271,6,1,3.76
272,19,1,6.9
273,20,1,5.08
274,26,1,4.12
275,20,1,5.08
275,5,2,10.24
275,11,1,3.96
276,8,1,4.03
277,16,1,5.82
277,18,1,4.58
278,2,2,10.88
279,8,1,4.03
279,27,1,5.75
280,6,1,3.76
281,31,1,5.19
281,20,1,5.08
282,25,1,6.66
283,20,1,5.08
283,9,1,5.07
284,28,1,3.95
284,1,1,4.79
285,20,1,5.08
285,14,1,4.02
285,5,1,5.12
286,23,1,4.73
286,25,1,6.66
287,14,1,4.02
287,17,1,4.25
288,6,1,3.76
289,16,1,5.82
289,21,1,6.97
290,8,1,4.03
291,10,1,4.91
292,28,2,7.9
292,14,1,4.02
293,3,1,3.85
293,4,1,5.74
294,9,1,5.07
295,19,1,6.9
295,19,1,6.9
295,24,2,14.0
296,31,1,5.19
296,2,1,5.44
296,10,1,4.91
297,5,1,5.12
298,6,2,7.52
298,20,1,5.08
298,25,2,13.32
299,29,1,4.42
299,30,1,6.85
300,31,1,5.19
301,7,1,6.29
302,8,2,8.06
303,1,1,4.79
303,10,1,4.91
304,5,1,5.12
304,28,1,3.95
305,5,1,5.12
306,4,1,5.74
307,20,1,5.08
308,21,1,6.97
309,3,1,3.85
309,22,1,5.16
310,2,1,5.44
311,28,1,3.95
312,3,1,3.85
313,23,1,4.73
314,14,1,4.02
314,27,1,5.75
314,17,2,8.5
315,14,1,4.02
316,4,1,5.74
316,25,1,6.66
317,28,1,3.95
317,5,1,5.12
318,23,1,4.73
318,17,2,8.5
319,2,1,5.44
319,14,1,4.02
319,18,1,4.58
320,8,1,4.03
321,21,1,6.97
322,23,1,4.73
322,13,1,5.73
322,3,1,3.85
323,8,1,4.03
324,3,1,3.85
324,5,1,5.12
325,18,2,9.16
326,27,1,5.75
327,9,1,5.07
327,29,1,4.42
327,25,1,6.66
328,11,1,3.96
328,23,1,4.73
329,22,1,5.16
330,27,1,5.75
331,12,2,12.64
331,30,2,13.7
332,32,1,4.68
333,28,1,3.95
333,6,1,3.76
333,10,1,4.91
334,9,1,5.07
334,28,1,3.95
334,23,1,4.73
335,1,1,4.79
335,16,1,5.82
336,19,1,6.9
337,23,1,4.73
338,26,1,4.12
339,31,1,5.19
339,25,1,6.66
340,7,1,6.29
340,3,1,3.85
341,8,1,4.03
342,31,1,5.19
343,19,1,6.9
344,31,2,10.38
344,8,1,4.03
345,12,2,12.64
346,9,1,5.07
346,9,1,5.07
346,1,1,4.79
347,31,1,5.19
347,18,1,4.58
348,2,1,5.44
348,31,2,10.38
348,7,1,6.29
349,32,1,4.68
349,5,1,5.12
350,8,1,4.03
350,8,2,8.06
351,14,1,4.02
352,2,1,5.44
352,24,1,7.0
353,2,2,10.88
354,5,1,5.12
354,19,1,6.9
355,25,1,6.66
355,15,1,6.31
356,12,1,6.32
356,11,2,7.92
357,18,1,4.58
357,14,1,4.02
357,32,2,9.36
358,8,1,4.03
358,12,1,6.32
359,25,1,6.66
359,4,1,5.74
360,22,1,5.16
361,28,1,3.95
361,21,1,6.97
361,15,1,6.31
362,29,2,8.84
362,19,1,6.9
362,7,1,6.29
363,29,1,4.42
364,1,1,4.79
364,6,1,3.76
364,5,1,5.12
365,10,1,4.91
365,18,1,4.58
366,8,1,4.03
366,6,1,3.76
367,6,1,3.76
367,23,1,4.73
368,5,1,5.12
369,11,1,3.96
369,31,1,5.19
370,4,2,11.48
371,30,1,6.85
371,28,1,3.95
372,21,1,6.97
373,10,1,4.91
374,27,1,5.75
375,1,1,4.79
375,31,1,5.19
376,7,1,6.29
377,10,1,4.91
377,5,1,5.12
378,14,2,8.04
379,25,1,6.66
379,6,1,3.76
380,21,1,6.97
381,26,1,4.12
381,22,1,5.16
382,6,1,3.76
382,14,1,4.02
382,20,1,5.08
383,26,1,4.12
383,29,1,4.42
384,15,1,6.31
385,12,1,6.32
386,23,1,4.73
386,5,1,5.12
387,31,2,10.38
387,14,1,4.02
388,9,1,5.07
389,13,1,5.73
389,12,1,6.32
390,10,1,4.91
390,2,1,5.44
390,7,1,6.29
391,9,1,5.07
392,24,1,7.0
392,7,1,6.29
392,25,1,6.66
393,6,1,3.76
394,4,1,5.74
394,6,1,3.76
395,26,1,4.12
396,3,1,3.85
396,7,2,12.58
397,28,2,7.9
397,10,1,4.91
398,24,1,7.0
399,19,1,6.9
400,21,1,6.97
400,8,1,4.03
400,26,1,4.12
401,9,1,5.07
402,14,1,4.02
403,20,1,5.08
403,11,1,3.96
404,2,1,5.44
405,19,1,6.9
405,20,1,5.08
405,1,1,4.79
406,12,2,12.64
407,25,2,13.32
408,23,1,4.73
409,30,1,6.85
409,26,1,4.12
409,9,1,5.07
410,17,1,4.25
410,14,1,4.02
410,31,1,5.19
411,25,1,6.66
411,20,1,5.08
411,32,1,4.68
412,7,1,6.29
413,1,1,4.79
414,27,2,11.5
414,15,1,6.31
415,18,1,4.58
415,27,1,5.75
416,1,1,4.79
416,2,1,5.44
417,31,1,5.19
417,10,1,4.91
418,21,1,6.97
419,5,1,5.12
419,6,1,3.76
420,23,1,4.73
420,21,1,6.97
420,7,1,6.29
421,25,1,6.66
421,6,1,3.76
421,6,1,3.76
422,32,1,4.68
422,17,1,4.25
422,15,1,6.31
423,4,1,5.74
423,30,2,13.7
424,12,1,6.32
425,19,1,6.9
425,24,1,7.0
426,22,1,5.16
426,20,1,5.08
426,32,1,4.68
427,13,1,5.73
428,2,1,5.44
428,17,1,4.25
429,23,1,4.73
429,11,1,3.96
429,18,1,4.58
430,21,1,6.97
431,19,1,6.9
431,20,1,5.08
432,2,1,5.44
433,23,1,4.73
433,7,1,6.29
434,8,1,4.03
435,22,1,5.16
435,5,1,5.12
436,28,1,3.95
437,24,2,14.0
437,14,1,4.02
438,3,1,3.85
438,28,1,3.95
439,29,1,4.42
440,6,1,3.76
441,4,1,5.74
441,25,1,6.66
442,11,2,7.92
443,26,1,4.12
444,20,2,10.16
444,15,1,6.31
445,11,1,3.96
445,21,1,6.97
445,8,1,4.03
446,8,1,4.03
446,26,1,4.12
447,14,1,4.02
447,30,1,6.85
448,15,1,6.31
448,24,1,7.0
449,4,1,5.74
450,9,1,5.07
451,7,1,6.29
451,5,1,5.12
451,7,1,6.29
452,9,1,5.07
452,27,1,5.75
453,8,2,8.06
454,1,1,4.79
454,7,1,6.29
454,27,1,5.75
455,11,1,3.96
455,23,1,4.73
455,12,1,6.32
456,7,1,6.29
456,14,1,4.02
457,7,1,6.29
457,3,1,3.85
458,10,1,4.91
459,23,1,4.73
459,23,1,4.73
460,12,1,6.32
460,26,1,4.12
461,4,1,5.74
462,31,1,5.19
463,7,1,6.29
463,18,1,4.58
463,22,1,5.16
464,28,1,3.95
464,30,1,6.85
464,12,1,6.32
465,26,1,4.12
466,28,1,3.95
466,31,1,5.19
467,9,1,5.07
467,29,1,4.42
468,24,1,7.0
469,9,1,5.07
469,22,1,5.16
469,31,1,5.19
470,25,2,13.32
470,32,1,4.68
471,30,1,6.85
471,23,1,4.73
471,7,1,6.29
472,7,1,6.29
472,6,1,3.76
473,22,1,5.16
474,4,1,5.74
474,6,1,3.76
475,14,1,4.02
476,21,1,6.97
477,28,2,7.9
477,22,1,5.16
478,9,1,5.07
479,29,1,4.42
479,7,1,6.29
480,12,1,6.32
481,24,1,7.0
482,25,1,6.66
482,21,1,6.97
483,28,1,3.95
484,26,2,8.24
484,7,1,6.29
485,31,1,5.19
486,14,1,4.02
487,29,1,4.42
487,31,1,5.19
487,10,1,4.91
488,10,2,9.82
489,12,1,6.32
489,20,1,5.08
489,9,1,5.07
490,4,2,11.48
491,19,1,6.9
491,21,1,6.97
491,13,2,11.46
492,8,1,4.03
493,9,1,5.07
494,26,1,4.12
494,13,1,5.73
495,5,1,5.12
495,24,1,7.0
496,16,1,5.82
496,2,1,5.44
497,20,1,5.08
498,12,1,6.32
498,1,2,9.58
499,10,2,9.82
500,19,1,6.9
501,22,1,5.16
502,5,1,5.12
502,15,1,6.31
503,27,1,5.75
503,3,1,3.85
503,28,2,7.9
504,1,2,9.58
505,16,1,5.82
506,29,1,4.42
506,21,2,13.94
507,6,1,3.76
507,27,1,5.75
508,17,1,4.25
508,3,1,3.85
508,7,1,6.29
509,12,1,6.32
510,27,1,5.75
511,24,2,14.0
512,18,1,4.58
512,2,1,5.44
513,9,1,5.07
514,2,1,5.44
514,12,1,6.32
515,5,2,10.24
516,16,1,5.82
516,5,1,5.12
517,4,1,5.74
518,10,1,4.91
518,13,1,5.73
519,24,2,14.0
519,17,1,4.25
519,26,1,4.12
520,26,2,8.24
521,32,1,4.68
521,13,1,5.73
521,2,1,5.44
522,32,1,4.68
522,4,1,5.74
523,27,1,5.75
524,18,1,4.58
524,16,1,5.82
524,15,1,6.31
525,24,1,7.0
525,3,1,3.85
526,29,1,4.42
527,32,1,4.68
527,23,1,4.73
527,1,1,4.79
528,9,2,10.14
528,10,2,9.82
529,25,1,6.66
529,9,1,5.07
529,29,1,4.42
530,18,1,4.58
530,1,1,4.79
531,10,1,4.91
532,8,1,4.03
533,16,2,11.64
533,30,1,6.85
534,25,1,6.66
534,5,1,5.12
534,12,1,6.32
535,2,1,5.44
535,28,1,3.95
536,14,2,8.04
536,32,1,4.68
537,3,1,3.85
538,27,1,5.75
538,8,1,4.03
538,6,1,3.76
539,9,1,5.07
540,7,1,6.29
541,32,1,4.68
541,25,2,13.32
542,18,1,4.58
543,4,1,5.74
543,7,1,6.29
544,28,1,3.95
545,20,2,10.16
546,6,2,7.52
546,10,1,4.91
546,24,1,7.0
547,17,1,4.25
547,18,1,4.58
548,14,1,4.02
549,21,1,6.97
549,18,1,4.58
550,26,1,4.12
551,4,1,5.74
552,32,1,4.68
553,16,1,5.82
554,4,1,5.74
554,18,1,4.58
555,14,1,4.02
556,12,1,6.32
556,10,1,4.91
556,27,1,5.75
557,18,1,4.58
557,16,1,5.82
558,18,1,4.58
558,13,1,5.73
558,21,1,6.97
559,11,1,3.96
560,31,1,5.19
561,16,1,5.82
562,19,2,13.8
562,27,1,5.75
562,13,1,5.73
563,30,1,6.85
564,21,1,6.97
565,2,1,5.44
566,3,1,3.85
566,7,1,6.29
567,10,1,4.91
567,2,1,5.44
568,17,1,4.25
568,31,1,5.19
569,2,1,5.44
570,20,1,5.08
570,14,1,4.02
571,24,1,7.0
572,27,1,5.75
572,19,1,6.9
573,7,1,6.29
573,2,1,5.44
574,5,1,5.12
575,17,1,4.25
575,19,1,6.9
576,25,1,6.66
576,14,1,4.02
577,17,1,4.25
578,20,1,5.08
578,29,1,4.42
579,11,1,3.96
579,4,1,5.74
580,20,1,5.08
580,23,1,4.73
581,9,1,5.07
581,3,1,3.85
582,25,1,6.66
583,7,1,6.29
583,18,1,4.58
584,17,1,4.25
584,25,1,6.66
585,21,1,6.97
585,23,1,4.73
586,27,1,5.75
586,3,1,3.85
586,19,1,6.9
587,32,1,4.68
587,32,1,4.68
587,15,1,6.31
588,31,2,10.38
588,20,1,5.08
588,15,1,6.31
589,29,1,4.42
590,5,1,5.12
590,21,1,6.97
590,18,1,4.58
591,14,1,4.02
591,23,1,4.73
592,1,1,4.79
592,13,1,5.73
593,21,1,6.97
594,20,1,5.08
594,3,1,3.85
594,29,1,4.42
595,5,1,5.12
596,9,1,5.07
596,17,1,4.25
596,6,1,3.76
597,9,2,10.14
597,30,2,13.7
598,6,1,3.76
598,24,1,7.0
599,4,1,5.74
600,10,1,4.91
601,5,1,5.12
601,30,1,6.85
602,32,1,4.68
602,29,1,4.42
602,19,1,6.9
603,4,1,5.74
603,13,1,5.73
603,11,1,3.96
604,19,1,6.9
604,22,1,5.16
604,28,1,3.95
605,4,1,5.74
606,14,1,4.02
607,32,1,4.68
607,25,1,6.66
608,28,2,7.9
609,23,1,4.73
609,16,1,5.82
610,27,2,11.5
611,4,2,11.48
612,2,1,5.44
613,26,1,4.12
614,24,1,7.0
615,32,1,4.68
615,21,1,6.97
616,13,1,5.73
617,30,1,6.85
617,15,1,6.31
618,27,1,5.75
618,22,1,5.16
618,15,1,6.31
619,16,1,5.82
619,31,1,5.19
620,14,2,8.04
621,1,1,4.79
621,13,1,5.73
622,5,1,5.12
622,6,1,3.76
623,19,1,6.9
624,16,1,5.82
624,12,1,6.32
625,20,1,5.08
626,15,1,6.31
626,13,1,5.73
626,32,1,4.68
627,19,1,6.9
628,6,1,3.76
628,24,1,7.0
628,29,1,4.42
629,26,1,4.12
630,29,1,4.42
630,24,1,7.0
631,26,1,4.12
631,7,1,6.29
632,12,1,6.32
633,24,1,7.0
633,3,1,3.85
633,4,1,5.74
634,10,1,4.91
635,27,1,5.75
636,23,1,4.73
637,30,1,6.85
638,18,1,4.58
638,16,1,5.82
638,8,1,4.03
639,8,1,4.03
639,24,1,7.0
640,2,1,5.44
640,2,1,5.44
640,4,1,5.74
641,1,1,4.79
641,16,1,5.82
642,9,1,5.07
642,10,1,4.91
643,21,1,6.97
644,7,2,12.58
645,14,1,4.02
645,32,1,4.68
646,25,1,6.66
646,14,1,4.02
647,13,1,5.73
647,13,2,11.46
648,30,1,6.85
649,16,1,5.82
649,10,1,4.91
649,9,1,5.07
650,24,1,7.0
650,20,1,5.08
651,12,1,6.32
652,18,1,4.58
652,18,1,4.58
653,27,1,5.75
653,13,1,5.73
654,31,1,5.19
655,23,1,4.73
656,30,1,6.85
657,10,1,4.91
657,4,1,5.74
657,5,1,5.12
658,15,1,6.31
659,14,1,4.02
659,9,1,5.07
660,3,1,3.85
660,8,1,4.03
660,12,1,6.32
661,23,1,4.73
661,30,2,13.7
661,8,1,4.03
662,31,1,5.19
662,28,1,3.95
663,29,1,4.42
663,16,1,5.82
664,20,1,5.08
665,31,1,5.19
665,6,1,3.76
666,15,2,12.62
667,26,1,4.12
668,28,1,3.95
669,30,1,6.85
669,4,1,5.74
669,10,1,4.91
670,13,1,5.73
671,29,1,4.42
672,23,1,4.73
672,28,1,3.95
673,28,1,3.95
674,32,1,4.68
675,25,1,6.66
676,11,1,3.96
677,1,1,4.79
677,28,1,3.95
678,1,1,4.79
678,24,1,7.0
679,23,1,4.73
680,18,1,4.58
680,17,1,4.25
681,14,1,4.02
682,2,1,5.44
683,31,1,5.19
683,29,1,4.42
684,16,1,5.82
684,15,1,6.31
685,23,1,4.73
686,18,1,4.58
686,25,1,6.66
687,7,1,6.29
687,29,1,4.42
688,11,1,3.96
689,16,1,5.82
689,11,1,3.96
690,3,1,3.85
690,11,1,3.96
691,26,1,4.12
691,32,1,4.68
691,1,2,9.58
692,7,1,6.29
692,4,2,11.48
693,2,1,5.44
694,27,1,5.75
694,27,1,5.75
694,31,1,5.19
695,30,1,6.85
695,20,1,5.08
695,7,1,6.29
696,28,1,3.95
697,18,1,4.58
698,22,1,5.16
699,11,1,3.96
700,13,1,5.73
701,26,1,4.12
701,23,2,9.46
702,6,1,3.76
703,5,1,5.12
703,8,1,4.03
704,25,1,6.66
705,2,2,10.88
706,21,1,6.97
706,28,1,3.95
707,22,1,5.16
708,27,1,5.75
708,19,1,6.9
709,26,1,4.12
709,29,1,4.42
710,3,1,3.85
711,7,1,6.29
711,17,2,8.5
712,8,1,4.03
713,28,1,3.95
713,15,2,12.62
714,27,1,5.75
715,20,1,5.08
715,25,1,6.66
716,30,1,6.85
716,30,1,6.85
717,26,1,4.12
717,21,2,13.94
717,6,1,3.76
718,29,2,8.84
719,13,1,5.73
720,18,1,4.58
721,13,1,5.73
722,23,1,4.73
722,17,1,4.25
723,10,1,4.91
723,1,1,4.79
724,12,1,6.32
724,24,1,7.0
725,29,1,4.42
726,20,1,5.08
726,25,1,6.66
726,22,1,5.16
727,13,1,5.73
727,19,1,6.9
728,20,2,10.16
728,30,1,6.85
729,17,1,4.25
729,4,1,5.74
729,28,1,3.95
730,4,2,11.48
730,31,1,5.19
731,32,1,4.68
731,11,1,3.96
731,18,1,4.58
732,17,1,4.25
733,2,1,5.44
734,2,1,5.44
734,29,1,4.42
735,31,1,5.19
735,11,2,7.92
736,4,1,5.74
737,27,2,11.5
738,27,1,5.75
739,32,1,4.68
739,32,1,4.68
739,19,1,6.9
740,16,1,5.82
741,31,1,5.19
741,21,1,6.97
742,4,1,5.74
742,32,1,4.68
743,7,1,6.29
744,24,1,7.0
744,14,1,4.02
744,21,1,6.97
745,7,1,6.29
745,16,1,5.82
746,1,1,4.79
747,21,1,6.97
747,4,1,5.74
747,13,1,5.73
748,2,1,5.44
748,6,1,3.76
749,31,1,5.19
749,8,1,4.03
750,19,1,6.9
750,20,1,5.08
751,29,1,4.42
751,8,1,4.03
752,2,1,5.44
752,31,1,5.19
752,30,2,13.7
753,4,1,5.74
754,14,1,4.02
754,6,1,3.76
755,32,1,4.68
755,27,1,5.75
756,14,1,4.02
757,23,1,4.73
758,31,1,5.19
759,25,1,6.66
759,21,1,6.97
760,11,1,3.96
760,6,1,3.76
760,12,2,12.64
761,14,1,4.02
762,18,2,9.16
763,22,1,5.16
763,9,2,10.14
764,6,1,3.76
764,14,2,8.04
765,22,1,5.16
766,30,1,6.85
767,12,1,6.32
768,18,1,4.58
768,21,1,6.97
769,13,1,5.73
770,4,2,11.48
770,21,2,13.94
770,16,2,11.64
771,23,1,4.73
772,6,1,3.76
773,11,1,3.96
773,17,1,4.25
774,14,1,4.02
774,8,2,8.06
774,13,1,5.73
775,21,2,13.94
775,14,1,4.02
776,13,1,5.73
777,1,1,4.79
778,18,1,4.58
779,29,1,4.42
780,8,1,4.03
780,4,1,5.74
781,27,1,5.75
781,8,2,8.06
782,20,1,5.08
783,2,1,5.44
784,4,1,5.74
785,11,1,3.96
786,9,1,5.07
786,31,1,5.19
787,29,2,8.84
787,11,1,3.96
788,4,1,5.74
789,9,1,5.07
789,10,1,4.91
790,20,1,5.08
790,7,1,6.29
791,23,1,4.73
791,29,1,4.42
792,29,1,4.42
793,32,1,4.68
793,14,1,4.02
793,20,1,5.08
794,18,1,4.58
794,21,1,6.97
795,23,1,4.73
795,19,1,6.9
796,24,1,7.0
796,25,1,6.66
797,25,2,13.32
797,25,1,6.66
797,10,1,4.91
798,13,1,5.73
798,1,1,4.79
799,6,1,3.76
799,30,1,6.85
799,25,1,6.66
800,8,1,4.03
800,14,1,4.02
800,8,1,4.03
801,10,2,9.82
801,9,1,5.07
802,30,1,6.85
803,12,1,6.32
804,13,1,5.73
805,16,1,5.82
806,8,1,4.03
806,9,1,5.07
807,22,2,10.32
808,28,1,3.95
809,2,1,5.44
810,23,1,4.73
810,32,2,9.36
811,6,1,3.76
812,5,1,5.12
813,31,1,5.19
814,31,1,5.19
815,26,1,4.12
